id,completion
puil_043,"Quando decisão da TNU contrariar súmula ou jurisprudência dominante do STJ, ou quando houver divergência entre Turmas de Juizados da Fazenda Pública de diferentes Estados, ou ainda quando a orientação das Turmas de Uniformização da Fazenda Pública contrariar súmula do STJ."
puil_042,Significa Pedido de Uniformização de Interpretação de Lei; pode ser suscitado na TNU ou chegar ao STJ nas hipóteses legais do Regimento Interno.
puil_092,EDcl corrigem omissão/contradição/obscuridade; PUIL fixa tese uniforme ante divergência entre Turmas (art. 14).
puil_010,"O relator pode pedir informações ao Presidente da Turma Recursal ou ao Coordenador; o Ministério Público é ouvido em 5 dias, e interessados não partes podem se manifestar em 30 dias."
puil_066,SIRDR trata da suspensão nacional de processos em IRDR já instaurado; PUIL uniformiza divergência de interpretação nos Juizados e pode repercutir em sobrestamentos específicos.
puil_051,"Divergências entre regiões passam pela TNU; o STJ atua quando a orientação contrariar sua súmula ou jurisprudência dominante, ou nas hipóteses específicas da Fazenda Pública."
puil_002,Pedido de Uniformização de Interpretação de Lei.
puil_071,"É a lei que institui os Juizados Especiais Cíveis e Criminais no âmbito da Justiça Federal, definindo competências, procedimentos e recursos."
puil_016,"Cabe. Se o relator indeferir o pedido no STJ, é possível agravo à Seção competente, com julgamento irrecorrível; o prazo para agravar de decisões do relator é de 10 dias."
puil_079,"Ficam retidos aguardando o pronunciamento do STJ; depois, as Turmas podem retratar-se ou declarar prejudicado (art. 14, §§6º e 9º)."
puil_074,Direito material; o art. 14 exige divergência sobre questões de direito material na interpretação da lei federal.
puil_011,"A reunião pode ser realizada pela via eletrônica, permitindo a participação de juízes domiciliados em cidades diversas."
puil_056,"Após a fixação da tese, os órgãos de origem podem exercer juízo de retratação e aplicar a orientação uniformizada aos processos semelhantes."
puil_057,Quando Turmas de diferentes Estados derem interpretações divergentes à lei federal ou quando a orientação das Turmas de Uniformização da Fazenda Pública contrariar súmula do STJ.
puil_073,É o pedido cabível quando houver divergência entre decisões de Turmas Recursais sobre questões de direito material na interpretação de lei federal.
puil_046,O PUIL trata de divergência entre órgãos dos Juizados; os EREsp resolvem divergência interna no STJ entre Turmas ou Seções sobre tese de direito federal.
puil_049,"PUIL resolve divergência interpretativa em Juizados; MS protege direito líquido e certo diante de ato ilegal/abusivo, com prova pré-constituída."
puil_093,Não. HC tutela liberdade de locomoção; PUIL é instrumento cível dos JEFs para uniformização de lei federal (art. 14).
puil_077,"Quando a orientação acolhida pela TNU contrariar súmula ou jurisprudência dominante do STJ (art. 14, §4º)."
puil_038,É a possibilidade de a Turma Recursal ajustar sua decisão ao entendimento fixado; ocorre após a tese estar definida pelo órgão uniformizador.
puil_031,"Pode. A súmula consolida a orientação sobre a questão e orienta julgamentos futuros, reforçando a uniformização."
puil_022,Cabe quando há divergência de interpretação de lei federal entre Turmas Recursais. A TNU julga divergências entre regiões; o STJ atua quando a orientação contrariar súmula ou jurisprudência dominante do próprio STJ.
puil_033,"Cabe agravo à Seção competente. O colegiado reexamina a decisão do relator, e o resultado é, em regra, irrecorrível na própria Corte."
puil_097,"As Turmas Recursais podem exercer juízo de retratação ou declarar prejudicados os pedidos idênticos (art. 14, §9º)."
puil_081,"Sim. Preferência sobre os demais feitos, salvo réu preso, habeas corpus e mandado de segurança (art. 14, §8º)."
puil_050,HC tutela liberdade de locomoção em matéria penal; PUIL é instrumento cível dos Juizados para uniformização de tese de direito material federal.
puil_084,"Até 60 salários mínimos (art. 3º); como há grande volume de causas repetitivas, o PUIL ajuda a uniformizar a tese jurídica aplicável."
puil_027,"Pedidos idênticos ficam retidos até a decisão; após o julgamento, as Turmas podem exercer juízo de retratação ou declarar os pedidos prejudicados."
puil_088,"O IRDR fixa tese em TRFs/TJs para casos repetitivos; o PUIL, previsto no art. 14 da Lei 10.259, é o mecanismo específico dos JEFs para uniformizar lei federal."
puil_034,"Tem preferência, ressalvados processos com réu preso, habeas corpus e mandados de segurança, que mantêm prioridade maior."
puil_009,"Sim. Pedidos idênticos subsequentes ficam retidos aguardando o pronunciamento do STJ, após o qual as Turmas Recursais podem exercer juízo de retratação ou declará-los prejudicados."
puil_048,PUIL versa sobre interpretação de lei federal; CC resolve qual juiz/tribunal é competente para julgar determinado processo.
puil_060,É pedido para uniformizar lei federal; ex.: Turmas de regiões diferentes adotam índices de correção distintos para atrasados previdenciários — usa-se PUIL para fixar qual índice aplicar.
puil_064,"Embargos de Declaração visam sanar omissão, contradição, obscuridade ou erro material; PUIL busca uniformizar entendimento jurídico entre órgãos recursais dos Juizados."
puil_075,"Reunião conjunta das Turmas em conflito, presidida pelo Juiz Coordenador (art. 14, §1º)."
puil_045,"PUIL uniformiza interpretação de lei federal no âmbito dos Juizados (divergência entre Turmas/Uniformizações); o REsp ataca violação de lei federal por Tribunal e segue pressupostos próprios do art. 105, III, da CF."
