id,prompt
puil_043,Em que situações o PUIL chega ao STJ?
puil_042,PUIL: o que significa a sigla e onde tramita?
puil_092,PUIL x Embargos de Declaração (EDcl): quando cada um é adequado?
puil_010,Quem pode se manifestar em PUIL e em quais prazos?
puil_066,PUIL e SIRDR no STJ: em que se distinguem?
puil_051,Quem julga o PUIL nas fases interna e superior?
puil_002,O que significa a sigla PUIL?
puil_071,O que é a Lei 10.259/2001?
puil_016,Cabe agravo contra indeferimento no STJ em PUIL?
puil_079,Pedidos idênticos de PUIL: o que acontece?
puil_074,PUIL discute direito material ou processual conforme a Lei 10.259?
puil_011,Como é feita a reunião dos juízes na Turma de Uniformização?
puil_056,Qual o efeito do PUIL sobre casos pendentes nas Turmas Recursais?
puil_057,PUIL nos Juizados da Fazenda Pública: quando cabe ao STJ?
puil_073,O que é PUIL segundo a Lei 10.259/2001?
puil_046,PUIL x Embargos de Divergência (EREsp): qual a distinção?
puil_049,PUIL x Mandado de Segurança (MS): que problemas cada um resolve?
puil_093,PUIL x Habeas Corpus (HC): há interseção?
puil_077,Quando o STJ pode ser provocado no PUIL pela Lei 10.259?
puil_038,O que é juízo de retratação após o PUIL e quando ocorre?
puil_031,A decisão em PUIL pode gerar súmula? Para que serve?
puil_022,Quando cabe PUIL e quem julga em cada fase?
puil_033,Cabe agravo contra indeferimento monocrático no STJ em PUIL? Qual o efeito?
puil_097,Qual o efeito do PUIL sobre processos pendentes após o acórdão?
puil_081,PUIL tem preferência na pauta?
puil_050,PUIL x Habeas Corpus (HC): por que não se confundem?
puil_084,Qual o limite de valor das causas cíveis da Lei 10.259 e por que isso importa para PUIL?
puil_027,Há retenção de pedidos idênticos e o que acontece depois do julgamento?
puil_088,PUIL x IRDR: qual o papel de cada um?
puil_034,O PUIL tem preferência na pauta? Quais exceções existem?
puil_009,Há retenção de pedidos idênticos de PUIL?
puil_048,PUIL x Conflito de Competência (CC): qual a diferença?
puil_060,O que é PUIL e dê um exemplo envolvendo benefício previdenciário.
puil_064,PUIL ou Embargos de Declaração: quando cada um é cabível?
puil_075,Quem decide o PUIL quando a divergência é entre Turmas da MESMA Região?
puil_045,Qual a diferença entre PUIL e Recurso Especial (REsp)?
puil_099,PUIL e tutela de urgência: a Lei 10.259 autoriza medidas liminares?
puil_053,O PUIL admite suspensão de processos semelhantes? Em que termos?
puil_086,PUIL x Recurso Especial (REsp): diferença sob a Lei 10.259
puil_013,Qual a diferença entre PUIL e recurso extraordinário no contexto dos JEFs?
puil_037,PUIL pode versar sobre matéria fática? Por quê?
puil_024,Quem pode provocar o STJ no PUIL e em que hipótese?
puil_040,Qual o objetivo do PUIL e como ele promove isonomia?
puil_041,O que é PUIL e qual seu objetivo central?
puil_019,Dê um exemplo prático em que cabe PUIL.
puil_067,PUIL gera súmula? Em que cenário isso ocorre?
puil_062,PUIL e Incidente de Resolução de Demandas Repetitivas (IRDR): diferenças?
puil_061,PUIL e Recurso Extraordinário (RE): qual o corte de competência?
puil_008,PUIL pode suspender processos semelhantes?
puil_035,Há participação de amicus curiae no PUIL? Como ocorre?
puil_100,O que diz a Lei 10.259 sobre normas complementares para o PUIL?
puil_047,PUIL x Reclamação (Rcl): quando usar cada um?
puil_003,Quando cabe PUIL nos JEFs?
puil_052,Quais os requisitos mínimos para demonstrar divergência em PUIL?
puil_017,Há preferência na pauta para julgamento de PUIL?
puil_039,Como estruturar a petição de PUIL para aumentar a clareza?
puil_059,Como estruturar uma petição de PUIL clara e objetiva?
puil_069,PUIL e competência interna do STJ: qual a classe processual correta na autuação?
puil_023,PUIL trata de direito material? Explique resumidamente.
puil_063,PUIL e Incidente de Assunção de Competência (IAC): são equivalentes?
puil_025,Quais prazos típicos para manifestações no PUIL e quem se manifesta?
puil_006,Quem julga a divergência entre Turmas Recursais de REGIÕES diferentes?
puil_007,Quando o STJ é provocado em PUIL?
puil_068,É possível combinar pedido de PUIL com pedido de tutela de urgência? Como justificar?
puil_083,O que a Lei 10.259 diz sobre reexame necessário e como isso afeta PUIL?
puil_020,Qual é o objetivo final do PUIL nos JEFs?
puil_080,Quais prazos de manifestação a Lei 10.259 prevê no PUIL?
puil_044,PUIL discute direito material ou processual? Explique.
puil_091,PUIL x Conflito de Competência (CC): diferença essencial
puil_021,O que é PUIL e dê um exemplo prático?
puil_001,O que é PUIL?
puil_096,O PUIL pode ser apreciado por reunião eletrônica?
puil_058,O que pedir no PUIL além da tese?
puil_094,PUIL x Embargos de Divergência (EREsp): qual a distinção prática?
puil_054,Há possibilidade de manifestação de terceiros interessados no PUIL?
puil_090,PUIL x Mandado de Segurança (MS): por que não se confundem?
puil_026,O PUIL pode suspender processos semelhantes? Em quais condições?
puil_072,Qual artigo da Lei 10.259 trata do PUIL?
puil_085,Lei 10.259 e Lei 9.099: qual a conexão?
puil_078,O relator pode suspender processos semelhantes em PUIL?
